date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:33	5117/5117	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:23%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/tukrozes4.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/tukrozes4d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:33	618/618	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:25%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5060&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadbd50.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:33	5081/5081	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:24%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/utca1.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/utca1d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:33	808/808	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:25%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5061&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download2763.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:34	5085/5085	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:24%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/utca2.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/utca2d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:34	410/410	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:26%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5062&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloaddde4.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:34	5085/5085	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:25%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/utca3.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/utca3d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:34	608/608	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:26%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?node=5063&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download92c8.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:35	5085/5085	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:25%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/utca4.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/utca4d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:35	829/829	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:28%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=3345&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download5a97.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/gyakrek/lep.png)
